1,"StarTale","2010-09-15",
2,"Incredible Miracle","2010-10-01",
3,"Prime","2010-10-13",
4,"FXOpen e-Sports Korea","2011-07-18",
5,"FXOpen e-Sports Europe","2012-03-03","2013-04-09"
6,"FXOpen e-Sports North America","2012-10-28","2013-08-07"
7,"MVP","2011-02-20",
8,"New Star HoSeo","2011-02-26","2013-07-31"
9,"CJ Entus","2000-05-09",
10,"KT Rolster","2000-04-04",
11,"Samsung Galaxy","2011-04-01",
12,"SK Telecom T1","2000-07-05",
13,"STX SouL","2000-03-21",
14,"Jin Air Green Wings","2000-06-19",
15,"Woongjin Stars","2000-05-08",
16,"Team SCV Life","2010-10-08","2013-01-03"
17,"AZUBU","2010-02-05",
18,"Team Liquid","2010-03-04",
19,"Millenium","2010-06-13",
20,"Western Wolves","2010-03-22",
21,"against All authority","2011-01-24",
22,"mousesports","2010-03-24",
23,"SK Gaming","2010-08-07",
24,"ALTERNATE","2010-07-22",
25,"mTw","2010-04-22","2013-01-26"
26,"Team Acer","2011-07-19",
27,"Alien Invasion","2010-12-11",
28,"XMG","2010-04-24",
29,"Karont3 e-Sports Club","2010-03-26","2013-05-30"
30,"Team Empire","2010-02-04",
31,"RoX.KIS","2010-11-29",
32,"Virtus.pro","2011-11-30",
33,"Dignitas","2008-11-03",
34,"Fnatic","2010-02-28",
35,"Axiom","2010-10-21",
36,"GamersLeague","2010-10-17",
37,"It's Gosu","2011-06-15","2013-02-02"
38,"CompLexity Gaming","2010-08-15",
39,"ROOT Gaming","2010-03-22",
40,"Evil Geniuses","2010-03-11",
41,"Invictus Gaming","2011-08-02",
43,"Gama Bears","2011-04-23",
44,"Team Grubby","2010-06-29",
45,"ESC ICYBOX","2011-04-09",
46,"LighT eSports","2012-01-03","2013-03-08"
47,"SlayerS","2010-11-30","2012-11-03"
48,"NewRoSoft","2011-03-15",
49,"The Drop Bears","2010-10-05",
51,"GAMECOM Nv","2012-02-11",
52,"Dream Team Gaming","2011-05-11",
53,"InFerno eSports","2010-05-27",
55,"Infinity Seven","2010-09-03",
56,"World Elite","2010-10-13",
57,"Clarity Gaming","2012-09-27",
59,"Incredible Panic","2010-04-15",
60,"eSuba","2010-07-13",
133,"Imaginary Gaming","2010-04-19",
64,"Quantic Gaming","2011-06-20",
65,"ZeNEX","2010-10-18","2012-07-13"
67,"Team LDLC.com","2010-08-08",
68,"Meet Your Makers","2010-04-27","2013-05-03"
69,"LowLandLions","2010-02-04",
75,"Virus Gaming","2005-02-28","2011-11-01"
76,"Sixjax Gaming","2011-03-31","2011-09-16"
77,"Team ReIGN","2011-06-15","2012-02-17"
78,"eSahara","2011-07-09","2012-03-22"
79,"CheckSix Gaming","2003-01-01","2012-08-14"
80,"Cyber Nation","2010-09-08","2012-04-08"
81,"Old Generations","2010-05-01","2012-05-15"
83,"Team Legion","2011-10-08","2012-10-16"
84,"Team Vile","2005-01-05","2012-05-04"
85,"eXelon Gaming","2009-09-01","2012-08-29"
86,"GosuGamers","2011-01-01","2011-12-02"
87,"Type Gaming","2011-10-05","2012-10-14"
88,"fOu","2010-10-01","2011-07-18"
89,"team prOperty","2010-07-24",
90,"Pulse Esports","2012-09-28","2013-09-15"
91,"Eclypsia","2012-02-29","2012-12-12"
93,"BLAST","2010-06-20","2012-09-13"
95,"vVv Gaming","2011-04-20","2013-01-28"
96,"Sparte Legion","2012-05-08","2012-11-20"
97,"Alt-Tab.Gaming","2011-05-10","2012-11-16"
98,"Keyd Team","2010-02-17",
99,"WinFakt!","2012-09-13","2012-11-12"
100,"Mistral eSport","2010-09-12","2013-01-14"
102,"Xeria Gaming","2010-05-09","2013-08-19"
103,"Guild of Imbalance","2010-09-06",
104,"Tt Apollos","2011-01-12",
105,"Yoe Ironmen","2011-05-14",
106,"Team Immunity","2010-12-31",
107,"PhoenixTeam","2012-06-01","2012-12-27"
108,"TyLoo","2010-11-19","2013-05-07"
109,"Carnage eSports","2011-03-14","2012-11-18"
132,"Awesome Gaming","2010-01-22","2013-07-10"
110,"Mindfreak eSports","2012-04-11","2012-11-06"
111,"Cascade","2010-10-01",
112,"apeX eSports","2010-05-19","2012-11-18"
113,"WeMade FOX","2010-05-07","2011-08-31"
114,"Eternity Gaming","2012-05-07",
115,"Team Replika","2010-08-05",
116,"Catastrophic Cruel Memory","2011-05-23","2011-08-02"
117,"NOM Gaming","2011-06-01","2012-06-10"
118,"eSrael","2011-03-20",
120,"Revolution Sports","2003-01-01","2011-03-24"
121,"Team Clash","2010-07-20","2012-06-03"
123,"Team eXtensive","2012-02-09","2013-02-09"
124,"Air Force ACE","2012-05-17","2013-07-23"
125,"4Kings","2011-09-13",
127,"Aprender","2010-12-23",
128,"nexmultigaming","2013-01-01",
129,"Soviet Gaming","2010-11-11",
130,"Anexis eSports","2013-01-29",
131,"FXOpen e-Sports","2010-12-11","2012-10-28"
134,"Roar Gaming","2010-06-27",
145,"Denial eSports","2012-03-31",
135,"mYinsanity","2010-11-17",
136,"3D Clan","2010-03-09",
137,"isurus Gaming","2011-06-21",
138,"Frenetic Array","2012-09-10",
147,"The Alliance","2013-04-12",
140,"Copenhagen Wolves","2012-01-19",
142,"Eternal E-Sports","2012-04-25",
146,"Natus Vincere","2011-04-11",
148,"ENCE eSports","2013-04-13",
153,"oGaming","2013-05-23",
149,"Flash eSports","2011-01-12",
150,"Exile 5","2010-06-28",
151,"Vici Gaming","2013-05-07",
152,"Downfall Esports","2013-04-03",
155,"Silicon Sports","2013-04-10",
156,"Vega Squadron","2012-06-10",
157,"Sgeht","2010-09-21",
160,"Wild 4 Sports","2013-04-13","2013-08-18"
159,"Team Missing in Action","2011-01-01",
162,"Long Chen","2013-08-05",
158,"sMiTeam","2013-07-14",
163,"Planetkey Dynamics","2013-08-18",
165,"Core Gaming","2013-08-03",
166,"AT Gaming","2010-10-01",
